# BSCnumber	RA[deg]	dec[deg]	Vmagnitude	dist[pc]
0	1.333750	-4.292500	4.61	71.429
1	1.566667	58.436667	5.96	21.277
2	1.579167	-48.925000	5.70	20.000
3	1.653333	29.021389	6.13	14.925
4	2.097083	29.090556	2.06	31.250
5	2.170833	36.626667	6.19	22.727
6	2.334167	79.714722	6.01	500.000
7	2.294583	59.149722	2.27	13.889
8	2.260000	-53.998056	6.33	111.111
9	2.337500	-26.012222	5.42	43.478
10	2.352917	-44.252500	3.88	15.152
11	2.509583	11.145556	5.51	58.824
12	2.580417	46.072222	5.03	500.000
13	2.816250	-14.531944	4.89	14.925
14	2.933333	-34.866944	5.25	29.412
15	3.041667	-16.061667	5.25	66.667
16	3.309167	15.183611	2.83	500.000
17	3.350000	26.987222	6.30	166.667
18	3.378333	41.035278	5.72	41.667
19	3.650833	20.206667	4.80	66.667
20	3.615000	-6.219444	5.12	333.333
21	3.660000	-17.067222	4.44	34.483
22	3.745000	8.820833	5.79	58.824
23	4.058333	76.950833	6.35	76.923
24	4.272917	38.681667	4.61	45.455
25	4.582083	36.785278	4.52	43.478
26	4.674167	-7.947222	6.46	18.868
27	4.857083	-7.176111	3.56	76.923
28	5.017917	-63.125278	4.23	7.463
29	5.227083	10.976944	6.56	200.000
30	5.280417	37.968611	5.18	58.824
31	5.162500	-68.375000	5.51	90.909
32	5.380000	-27.018333	5.18	37.037
33	5.715833	-11.790556	6.39	20.408
34	6.065000	52.020000	5.57	250.000
35	6.197917	61.831111	5.40	66.667
36	6.437917	-76.745833	2.80	6.536
37	6.570833	-41.693889	2.39	28.571
38	6.550833	-42.320000	3.94	13.889
39	7.012083	17.893056	5.06	62.500
40	7.057083	44.394444	5.17	76.923
41	6.982083	-32.992778	4.81	71.429
42	7.083750	10.189722	6.04	30.303
43	7.087917	-19.665000	6.43	29.412
44	7.110000	-38.085000	5.43	66.667
45	7.729167	77.019444	6.21	43.478
46	7.582917	59.977222	5.94	500.000
47	7.530417	29.751667	5.23	1000.000
48	7.594583	-22.212222	5.19	55.556
49	7.943333	54.522222	4.73	33.333
50	7.921667	52.839444	5.60	125.000
51	7.854167	-47.196389	4.77	37.037
52	7.886250	-61.041944	4.37	33.333
53	7.890000	-61.034167	4.54	33.333
54	8.147917	20.294444	5.38	31.250
55	8.204583	28.280278	6.30	166.667
56	8.182500	-62.968889	5.09	20.408
57	8.615833	-51.626944	5.57	26.316
58	8.812083	-2.407222	5.20	16.667
59	8.977917	13.206667	6.41	50.000
60	9.194167	44.488611	5.13	142.857
61	9.242917	53.896944	3.66	250.000
62	9.220417	33.719444	4.36	333.333
63	9.947083	82.493889	6.40	35.714
64	9.336250	-23.232778	5.57	13.158
65	9.638750	29.311667	4.37	32.258
66	9.832083	30.860833	3.27	35.714
67	9.840833	21.250556	5.87	10.101
68	9.981667	21.438333	5.36	111.111
69	10.127083	56.537222	2.23	62.500
70	9.991250	-32.038333	6.69	50.000
71	10.137083	-22.195556	6.14	23.256
72	10.280000	39.458611	5.33	100.000
73	10.110000	-58.545556	5.89	17.241
74	10.331667	-45.915000	4.59	250.000
75	10.867083	47.024722	4.94	43.478
76	10.618333	-64.531944	5.39	26.316
77	10.897500	-16.013333	2.04	16.393
78	10.838333	-56.536944	4.36	21.739
79	11.047500	-9.390556	4.76	45.455
80	11.050417	-37.578333	5.90	100.000
81	11.321667	55.221667	5.42	83.333
82	11.185000	-21.993889	5.24	20.833
83	11.440000	-46.448333	5.80	20.408
84	11.549167	-21.478056	5.50	47.619
85	11.637500	15.475556	5.38	66.667
86	11.834583	24.267222	4.06	27.027
87	11.978333	20.925278	6.54	45.455
88	12.275000	57.815833	3.44	5.682
89	12.095833	5.280556	5.75	6.897
90	12.170833	7.585000	4.43	52.632
91	12.244583	16.940556	5.07	21.277
92	12.470000	27.710833	7.00	90.909
93	12.471667	27.710278	7.10	90.909
94	12.531667	-9.355556	5.19	15.385
95	12.147500	-73.076667	5.07	40.000
96	12.671667	-49.013056	5.22	200.000
97	13.267083	61.124167	4.82	15.152
98	12.967083	-42.290833	6.90	142.857
99	13.169167	-23.994167	5.46	142.857
100	13.252083	-0.855833	4.77	333.333
101	13.448333	52.689167	6.27	76.923
102	13.301667	-23.223056	6.46	166.667
103	13.750417	58.972778	4.83	166.667
104	13.646667	19.188333	5.74	71.429
105	13.741667	23.628333	5.47	45.455
106	14.177083	60.716667	2.47	62.500
107	14.165833	59.181111	4.63	19.608
108	14.196250	60.362778	5.55	142.857
109	14.006250	-10.733333	5.31	111.111
110	14.188333	38.499444	3.87	25.641
111	13.751250	-68.473056	5.45	28.571
112	14.301667	23.417500	4.42	111.111
113	14.578750	21.404444	6.37	111.111
114	15.014167	44.711111	6.84	200.000
115	15.015000	44.713333	6.04	200.000
116	14.957083	6.483056	6.11	1000.000
117	15.326250	-37.083333	5.59	29.412
118	15.756250	47.376111	6.45	83.333
119	15.735833	7.890000	4.28	37.037
120	15.705000	-45.602500	5.36	40.000
121	15.954167	1.366667	6.04	41.667
122	19.056250	87.145278	6.25	90.909
123	16.420417	21.473333	5.34	62.500
124	16.423750	21.465278	5.56	62.500
125	17.068333	54.920278	5.17	7.353
126	16.520833	-45.281389	3.31	47.619
127	17.003750	43.941944	5.03	32.258
128	17.092500	5.649722	5.52	27.778
129	16.949583	-40.513056	5.21	71.429
130	16.827917	-60.224722	5.37	30.303
131	17.147500	-9.817778	3.45	24.390
132	17.375833	47.241944	4.25	333.333
133	17.663750	68.778611	5.29	58.824
134	17.432917	35.620556	2.06	20.408
135	17.096250	-54.754167	3.92	76.923
136	17.775833	55.149722	4.33	71.429
137	17.792917	37.724167	5.81	333.333
138	17.863333	21.034722	4.66	66.667
139	17.915000	30.089722	4.51	43.478
140	18.437083	24.583611	4.65	142.857
141	18.432917	7.575278	5.24	38.462
142	18.438750	7.578333	6.30	38.462
