# number	RA[deg]	dec[deg]	Vmagnitude
0	1.291250	45.229167	6.70
1	1.265833	0.503056	6.29
2	1.333750	-4.292500	4.61
3	1.425000	13.396111	5.51
4	1.566667	58.436667	5.96
5	1.579167	-48.925000	5.70
6	1.610417	64.196111	5.59
7	1.653333	29.021389	6.13
8	1.708750	-22.892500	6.18
9	1.825833	-16.613611	6.19
10	1.933750	-1.451111	6.43
11	1.945000	-21.491111	5.94
12	2.014583	-32.470556	5.68
13	2.050417	-1.552222	6.07
14	2.097083	29.090556	2.06
15	2.072500	-7.176111	5.99
16	2.170833	36.626667	6.19
17	2.139167	-16.422500	6.06
18	2.217500	25.462778	6.23
19	2.334167	79.714722	6.01
20	2.294583	59.149722	2.27
21	2.260000	18.211944	5.53
22	2.260000	-53.998056	6.33
23	2.337500	-26.012222	5.42
24	2.352917	-44.252500	3.88
25	2.509583	11.145556	5.51
26	2.580417	46.072222	5.03
27	2.623750	57.165556	6.74
28	2.578333	-4.751389	5.84
29	2.508750	-81.776111	5.28
30	2.678333	-11.420000	5.85
31	2.660833	-72.775556	6.64
32	2.816250	-14.531944	4.89
33	2.893333	-26.200278	5.41
34	2.933333	-34.866944	5.25
35	2.996250	48.152500	6.16
36	3.041667	-16.061667	5.25
37	3.210000	37.693333	6.73
38	3.309167	15.183611	2.83
39	3.350000	26.987222	6.30
40	3.378333	41.035278	5.72
41	3.425417	-25.978056	5.94
42	3.434167	-25.715278	6.31
43	3.509583	33.206111	6.25
44	3.650833	20.206667	4.80
45	3.615000	-6.219444	5.12
46	3.330833	-83.005833	5.77
47	3.660000	-17.067222	4.44
48	3.733750	22.284167	6.24
49	3.745000	8.820833	5.79
50	3.727083	-8.430278	5.75
51	3.779167	31.535833	6.45
52	3.794167	27.283056	6.35
53	3.742500	-33.095556	6.17
54	4.058333	76.950833	6.35
55	4.090000	43.594722	6.15
56	4.037083	-30.553611	5.67
57	3.980000	-74.088611	6.49
58	4.142083	8.240000	6.11
59	4.237917	61.533333	5.74
60	4.177083	-19.789444	6.47
61	4.287917	47.947500	5.89
62	4.272917	38.681667	4.61
63	4.204167	-77.219444	6.77
64	4.429167	51.433056	6.14
65	4.385833	-18.948889	6.45
66	4.448750	1.688889	6.17
67	4.582083	36.785278	4.52
68	4.571667	11.205833	6.05
69	4.675417	43.791111	6.11
70	4.659583	31.517222	5.87
71	4.674167	-7.947222	6.46
72	4.677500	-42.764722	6.33
73	4.857083	-7.176111	3.56
74	4.923333	40.729722	6.33
75	5.021667	48.865278	6.52
76	5.017917	-63.125278	4.23
77	5.101667	30.935833	5.90
78	5.189583	32.911389	5.79
79	5.149583	8.190278	5.37
80	5.227083	10.976944	6.56
81	5.280417	37.968611	5.18
82	5.162500	-68.375000	5.51
83	5.380000	-27.018333	5.18
84	5.442917	-19.942222	5.12
85	5.606250	13.482500	6.23
86	5.369167	-76.573056	5.97
87	5.715833	-11.790556	6.39
88	5.802500	-30.963889	6.55
89	6.008333	38.577222	7.39
90	6.065000	52.020000	5.57
